ID,单词类别,猜词
common,common,common
id,word_type,word
int,int,string
1,1,寿司
2,1,三明治
3,1,鸡腿
4,1,木耳
5,1,鸡翅
6,1,汉堡
7,1,面包
8,1,蛋糕
9,1,烧饼
10,1,刀削面
11,1,排骨
12,1,云吞
13,1,地三鲜
14,1,盖浇饭
15,1,蛋挞
16,1,薯条
17,1,馅饼
18,1,春卷
19,1,油条
20,1,馒头
21,1,水饺
22,1,蒸饺
23,1,饭团
24,1,咸鸭蛋
25,1,皮蛋
26,1,蛋炒饭
27,1,麻花
28,1,臭豆腐
29,1,虾仁
30,1,火锅
31,1,毛豆
32,1,牛排
33,1,面条
34,1,龙虾
35,1,驴打滚
36,1,燕窝
37,1,打卤面
38,1,方便面
39,1,豆腐
40,1,包子
41,1,米饭
42,1,烤肉
43,1,鱿鱼
44,1,泡菜
45,1,夫妻肺片
46,1,虾米
47,1,香肠
48,1,馄饨
49,1,冷面
50,1,米线
51,1,带鱼
52,1,烤鱼
53,1,涮羊肉
54,1,三文鱼
55,1,金枪鱼
56,1,意大利面
57,1,扇贝
58,1,狗不理
59,1,腊八粥
60,1,烤羊肉
61,1,炒面
62,1,生蚝
63,1,鹅肝
64,1,烤全羊
65,1,炸酱面
66,1,鹌鹑蛋
67,1,花卷
68,1,肉夹馍
69,2,苹果
70,2,梨
71,2,葡萄
72,2,红提
73,2,枣
74,2,百香果
75,2,罗汉果
76,2,桃
77,2,西瓜
78,2,杏
79,2,菠萝蜜
80,2,香瓜
81,2,荔枝
82,2,甘蔗
83,2,火龙果
84,2,柠檬
85,2,香蕉
86,2,芒果
87,2,菠萝
88,2,哈密瓜
89,2,榴莲
90,2,石榴
91,2,枇杷
92,2,山楂
93,2,椰子
94,2,桑葚
95,2,龙眼
96,2,柚子
97,2,草莓
98,2,沙糖桔
99,2,木瓜
100,2,橙子
101,2,圣女果
102,2,西梅
103,2,蓝莓
104,2,乌梅
105,2,山竹
106,2,樱桃
107,2,百花果
108,2,杨梅
109,2,杨桃
110,2,猕猴桃
111,3,蒜苔
112,3,油菜
113,3,生菜
114,3,香菜
115,3,紫菜
116,3,猴头菇
117,3,地瓜
118,3,茄子
119,3,土豆
120,3,白萝卜
121,3,莲藕
122,3,胡萝卜
123,3,娃娃菜
124,3,红薯
125,3,紫薯
126,3,香菇
127,3,韭菜
128,3,洋葱
129,3,金针菇
130,3,杏鲍菇
131,3,小葱
132,3,冬瓜
133,3,南瓜
134,3,黄瓜
135,3,山药
136,3,苦瓜
137,3,蒜
138,3,大葱
139,4,⾷盐
140,4,⽣抽
141,4,⽼抽
142,4,醋
143,4,料酒
144,4,甜⾯酱
145,4,⾖瓣酱
146,4,⾖豉
147,4,番茄酱
148,4,芝⿇酱
149,4,⽩糖
150,4,冰糖
151,4,红糖
152,4,辣椒
153,4,⿇椒
154,4,花椒
155,4,⼋⾓
156,4,⾹叶
157,4,桂⽪
158,4,⿊胡椒
159,4,⽩胡椒
160,4,孜然
161,4,⼩茴⾹
162,4,五⾹粉
163,4,咖喱
164,4,⾖腐乳
165,4,剁椒
166,4,泡椒
167,4,辣椒粉
168,4,沙拉酱
169,4,鸡精
170,4,蚝油
171,4,生姜
172,4,辣椒酱
173,5,矿泉水
174,5,牛奶
175,5,豆奶
176,5,气泡水
177,5,纯净水
178,5,红茶
179,5,奶茶
180,5,绿茶
181,5,碳酸饮料
182,5,酸奶
183,5,啤酒
184,5,白酒
185,5,黄酒
186,5,葡萄酒
187,5,清酒
188,5,洋酒
189,5,鸡尾酒
190,5,米酒
191,5,茉莉花茶
192,5,梅酸汤
193,5,凉茶
194,5,咖啡
195,5,豆浆
196,5,干红
197,5,伏特加
198,5,酸梅汤
199,5,黑胡椒
200,6,饼干
201,6,冰淇淋
202,6,巧克力
203,6,糖果
204,6,口香糖
205,6,泡泡糖
206,6,果冻
207,6,干脆面
208,6,爆米花
209,6,棉花糖
210,6,QQ糖
211,6,奶糖
212,6,话梅糖
213,6,牛轧糖
214,6,薄荷糖
215,6,薯片
216,6,芝麻糊
217,6,水果糖
218,6,棒棒糖
219,6,果脯
220,6,蜜饯
221,6,话梅
222,6,牛肉干
223,6,牛皮糖
224,6,猫耳朵
225,7,板栗
226,7,榛子
227,7,腰果
228,7,核桃
229,7,瓜子
230,7,松仁
231,7,杏仁
232,7,白果
233,7,开心果
234,7,碧根果
235,7,无花果
236,7,锥栗
237,7,霹雳果
238,7,葡萄干
239,7,花生
240,7,巴旦木
241,7,夏威夷果
242,7,栗子
243,7,沙漠果
244,7,榧子
245,7,白瓜子
246,8,死亡
247,8,治疗
248,8,手术
249,8,病人
250,8,残疾人
251,8,中医
252,8,骨折
253,8,细菌
254,8,病毒
255,8,担架
256,8,胶囊
257,8,人参
258,8,植物人
259,8,脂肪肝
260,8,创可贴
261,8,锁骨
262,8,发烧
263,8,口罩
264,8,脚气
265,8,肌肉
266,8,太阳穴
267,8,中暑
268,8,基因
269,8,膏药
270,9,工人
271,9,农民
272,9,厨师
273,9,程序员
274,9,医生
275,9,消防员
276,9,警察
277,9,保安
278,9,和尚
279,9,尼姑
280,9,记者
281,9,摄像师
282,9,教师
283,9,司机
284,9,战士
285,9,法师
286,9,骑士
287,9,牧师
288,9,神父
289,10,钢琴
290,10,小提琴
291,10,吉他
292,10,架子鼓
293,10,二胡
294,10,古筝
295,10,琵琶
296,10,小号
297,10,长号
298,10,圆号
299,10,手风琴
300,10,萨克斯
301,10,木鱼
302,10,唢呐
303,11,股票
304,11,银行
305,11,黄金
306,11,银行卡
307,11,人民币
308,11,美元
309,12,奥迪
310,12,宝马
311,12,保时捷
312,12,奔驰
313,12,本田
314,12,比亚迪
315,12,标致
316,12,别克
317,12,宾利
318,12,大众
319,12,法拉利
320,12,丰田
321,12,福特
322,12,海马
323,12,红旗
324,12,吉普
325,12,凯迪拉克
326,12,兰博基尼
327,12,劳斯莱斯
328,12,雷克萨斯
329,12,马自达
330,12,玛莎拉蒂
331,12,迈巴赫
332,12,奇瑞
333,12,起亚
334,12,日产
335,12,三菱
336,12,五菱
337,12,现代
338,12,雪佛兰
339,12,雪铁龙
340,12,一汽
341,13,火车
342,13,高铁
343,13,地铁
344,13,自行车
345,13,公交车
346,13,平衡车
347,13,飞机
348,13,直升机
349,13,出租车
350,13,轮船
351,13,帆船
352,13,电动车
353,13,摩托车
354,13,马车
355,13,消防车
356,13,救护车
357,13,无人机
358,13,潜水艇
359,13,三轮车
360,13,火箭
361,14,猫
362,14,狗
363,14,老鼠
364,14,鸡
365,14,鸭
366,14,鹅
367,14,蛇
368,14,大象
369,14,猴子
370,14,猪
371,14,狼
372,14,老虎
373,14,狮子
374,14,狐狸
375,14,梅花鹿
376,14,长颈鹿
377,14,犀牛
378,14,河马
379,14,马
380,14,熊猫
381,14,猩猩
382,14,乌龟
383,14,燕子
384,14,信鸽
385,14,鹦鹉
386,14,啄木鸟
387,14,青蛙
388,14,兔子
389,14,海豹
390,14,斑马
391,14,松鼠
392,14,鲨鱼
393,14,八爪鱼
394,14,企鹅
395,14,北极熊
396,14,穿山甲
397,14,蝴蝶
398,14,蜻蜓
399,14,蝎子
400,14,海参
401,14,羊驼
402,14,袋鼠
403,14,蝙蝠
404,14,鲸鱼
405,14,孔雀
406,14,眼镜蛇
407,14,壁虎
408,14,蜜蜂
409,14,苍蝇
410,14,螳螂
411,14,蜗牛
412,14,山羊
413,14,猫头鹰
414,14,骆驼
415,14,蜈蚣
416,14,乌鸦
417,14,布谷鸟
418,14,海龟
419,14,蜘蛛
420,14,螃蟹
421,15,脸盆
422,15,杯子
423,15,牙刷
424,15,牙膏
425,15,毛巾
426,15,洗发水
427,15,沐浴液
428,15,肥皂
429,15,桌子
430,15,椅子
431,15,衣柜
432,15,鞋柜
433,15,锅
434,15,铲子
435,15,碗
436,15,盘子
437,15,筷子
438,15,刀叉
439,15,酒杯
440,15,枕头
441,15,棉被
442,15,毯子
443,15,床垫
444,15,蚊帐
445,15,电视机
446,15,电脑
447,15,冰箱
448,15,微波炉
449,15,电磁炉
450,15,豆浆机
451,15,榨汁机
452,15,消毒柜
453,15,洗衣机
454,15,浴霸
455,15,电热水器
456,15,台灯
457,15,电饭锅
458,15,电风扇
459,15,空调
460,16,樱木花道
461,16,佐助
462,16,鸣人
463,16,机器猫
464,16,大雄
465,16,喜洋洋
466,16,灰太狼
467,16,路飞
468,16,柯南
469,16,皮卡丘
470,16,蜡笔小新
471,16,我爱罗
472,16,大头儿子
473,16,小头爸爸
474,16,黑猫警长
475,16,葫芦娃
476,16,海绵宝宝
477,16,海尔兄弟
478,16,三毛
479,16,米老鼠
480,16,唐老鸭
481,16,猫和老鼠
482,16,兔八哥
483,16,派大星
484,16,天线宝宝
485,16,粉红豹
486,17,下雨
487,17,刮风
488,17,龙卷风
489,17,云彩
490,17,太阳
491,17,大海
492,17,海浪
493,17,沙滩
494,17,晴天
495,17,下雪
496,17,雪花
497,17,多云
498,17,打雷
499,17,火山喷发
500,17,彩虹
501,17,闪电
502,17,流星
503,17,日出
504,17,夕阳
505,17,火烧云
506,17,日食
507,17,月食
508,17,海市蜃楼
509,17,海啸
510,17,泥石流
511,17,滑坡
512,17,流星雨
513,17,蒸发
514,18,游泳
515,18,跳水
516,18,花样游泳
517,18,体操
518,18,举重
519,18,拳击
520,18,柔道
521,18,跆拳道
522,18,击剑
523,18,射击
524,18,足球
525,18,篮球
526,18,排球
527,18,乒乓球
528,18,羽毛球
529,18,网球
530,18,棒球
531,18,滑冰
532,18,花样滑冰
533,18,冰球
534,18,冰壶
535,18,滑雪
536,18,健美操
537,18,滑水
538,18,登山
539,18,攀岩
540,18,高尔夫球
541,18,保龄球
542,18,台球
543,18,橄榄球
544,18,跳伞
545,18,滑翔
546,18,轮滑
547,18,钓鱼
548,18,龙舟
549,18,拔河
550,19,眼睛
551,19,鼻子
552,19,嘴巴
553,19,耳朵
554,19,脸
555,19,头发
556,19,手臂
557,19,脚
558,19,大腿
559,19,肚子
560,19,手指
561,19,脚趾
562,19,手心
563,19,脚心
564,20,百合
565,20,莲花
566,20,向日葵
567,20,牵牛花
568,20,仙人球
569,20,仙人掌
570,20,松树
571,20,菊花
572,20,柳树
573,20,银杏树
574,20,三叶草
575,20,四叶草
576,20,狗尾巴草
577,21,刀
578,21,剑
579,21,匕首
580,21,手枪
581,21,长枪
582,21,手里剑
583,21,飞镖
584,21,导弹
585,21,机关枪
586,22,三长二短
587,22,抱头鼠窜
588,22,鸡鸣狗盗
589,22,头破血流
590,22,坐井观天
591,22,眼高手低
592,22,目瞪口呆
593,22,胸无点墨
594,22,鸡飞狗跳
595,22,鼠目寸光
596,22,盲人摸象
597,22,画蛇添足
598,22,画龙点睛
599,22,暗箭伤人
600,22,狗急跳墙
601,22,虎背熊腰
602,22,守株待兔
603,22,亡羊补牢
604,22,对牛弹琴
605,22,如鱼得水
606,22,打草惊蛇
607,22,唇亡齿寒
608,22,走马观花
609,22,三头六臂
610,22,天外飞仙
611,22,火烧眉毛
612,22,一拍两散
613,22,水深火热
614,22,干柴烈火
615,22,大摇大摆
616,22,猴年马月
617,22,抽刀断水
618,22,虎头蛇尾
619,22,放虎归山
620,22,牛刀小试
621,22,虎口拔牙
622,22,羊落虎口
623,22,一泻千里
624,22,鸡犬不宁
625,22,杯弓蛇影
626,22,尖嘴猴腮
627,22,捕风捉影
628,22,花枝招展
629,22,拔苗助长
630,22,沧海桑田
631,22,孟母三迁
632,22,八面玲珑
633,22,九牛一毛
634,22,过河拆桥
635,22,目不转睛
636,22,刻舟求剑
637,22,搔首弄姿
638,22,水滴石穿
639,22,三人成虎
640,22,愚公移山
641,22,一叶障目
642,22,一日三秋
643,22,鹤立鸡群
644,22,一清二白
645,22,新婚之夜
646,22,狡兔三窟
647,22,兔死狐悲
648,22,顺手牵羊
649,22,飞沙走石
650,22,呼风唤雨
651,22,龙潭虎穴
652,22,死不瞑目
653,22,雨过天晴
654,22,牛鬼蛇神
655,22,含情脉脉
656,22,电闪雷鸣
657,22,单枪匹马
658,22,快马加鞭
659,22,马不停蹄
660,22,晴天霹雳
661,22,杀鸡儆猴
662,22,左右开弓
663,22,鸡飞蛋打
664,22,一举两得
665,22,鸡毛蒜皮
666,22,井底之蛙
667,22,虾兵蟹将
668,22,沉默是金
669,22,胆小如鼠
670,22,南腔北调
671,22,回眸一笑
672,22,冰清玉洁
673,22,泥牛下海
674,22,一手遮天
675,22,藏龙卧虎
676,22,饿虎扑食
677,22,捧腹大笑
678,22,狂风暴雨
679,22,狗血淋头
680,22,狐朋狗友
681,22,狼心狗肺
682,22,猪狗不如
683,22,天寒地冻
684,22,水中捞月
685,22,饥寒交迫
686,22,春光乍泄
687,22,谢天谢地
688,22,鸟语花香
689,22,老泪纵横
690,22,扬眉吐气
691,22,心花怒放
692,22,抓耳挠腮
693,22,笑里藏刀
694,22,前仰后合
695,22,一笑倾城
696,22,哭笑不得
697,22,鬼哭狼嚎
698,22,七情六欲
699,22,喜怒无常
700,22,摇头摆尾
701,22,怒火冲天
702,22,悲喜交加
703,22,乐极生悲
704,22,抱头痛哭
705,22,呆若木鸡
706,22,活蹦乱跳